pattern_id,class_id,count,delivery_offset_s
P000001,C006,1,849.3587719896758
P000002,C005,1,849.3587719896758
P000003,C004,1,849.3587719896758
P000004,C003,1,849.3587719896758
P000005,C003,1,909.3587719896758
P000005,C006,1,909.3587719896758
P000006,C003,1,909.3587719896758
P000006,C005,1,909.3587719896758
P000007,C003,2,909.3587719896758
P000008,C002,1,849.3587719896758
P000009,C002,1,909.3587719896758
P000009,C006,1,909.3587719896758
P000010,C002,1,909.3587719896758
P000010,C005,1,909.3587719896758
P000011,C002,1,909.3587719896758
P000011,C004,1,909.3587719896758
P000012,C002,1,909.3587719896758
P000012,C003,1,909.3587719896758
P000013,C001,1,849.3587719896758
P000014,C001,1,909.3587719896758
P000014,C006,1,909.3587719896758
P000015,C001,1,909.3587719896758
P000015,C005,1,909.3587719896758
P000016,C001,1,909.3587719896758
P000016,C004,1,909.3587719896758
P000017,C001,1,909.3587719896758
P000017,C003,1,909.3587719896758
P000018,C001,1,909.3587719896758
P000018,C002,1,909.3587719896758
P000019,C001,1,969.3587719896758
P000019,C002,1,969.3587719896758
P000019,C006,1,969.3587719896758
P000020,C001,1,969.3587719896758
P000020,C002,1,969.3587719896758
P000020,C005,1,969.3587719896758
P000021,C001,1,969.3587719896758
P000021,C002,1,969.3587719896758
P000021,C004,1,969.3587719896758
P000022,C001,1,969.3587719896758
P000022,C002,1,969.3587719896758
P000022,C003,1,969.3587719896758
P000023,C011,1,1225.8054737360449
P000024,C010,1,1225.8054737360449
P000025,C009,1,1225.8054737360449
P000026,C008,1,1225.8054737360449
P000027,C008,1,1285.8054737360449
P000027,C011,1,1285.8054737360449
P000028,C008,1,1285.8054737360449
P000028,C010,1,1285.8054737360449
P000029,C008,2,1285.8054737360449
P000030,C007,1,1225.8054737360449
P000031,C007,1,1285.8054737360449
P000031,C011,1,1285.8054737360449
P000032,C007,1,1285.8054737360449
P000032,C010,1,1285.8054737360449
P000033,C007,1,1285.8054737360449
P000033,C009,1,1285.8054737360449
P000034,C007,1,1285.8054737360449
P000034,C008,1,1285.8054737360449
P000035,C016,1,1349.111829747456
P000036,C015,1,1349.111829747456
P000037,C014,1,1349.111829747456
P000038,C013,1,1349.111829747456
P000039,C013,1,1409.111829747456
P000039,C016,1,1409.111829747456
P000040,C013,1,1409.111829747456
P000040,C015,1,1409.111829747456
